Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
university of deusto,spain,Europe,1001-1200,42.6,8.9,29.8,7.4,14.3,8.8,29.9,35.8,29.1,52.2,31.6,1213,31.9165,"10,138",18.7,11%,56:44:00,20.7,20.6,49.3,39.9,46,2026
university of east london,united kingdom,Europe,1001-1200,42.6,3.9,6.5,2.6,9.5,83.3,99.8,99.8,34.5,14.1,29.5,1076,34.0995,"18,135",28.6,57%,49:51:00,23.6,15.3,49.5,32.2,87.5,2026
university of ibadan,nigeria,Africa,1001-1200,42.6,11.6,16.6,6.4,7.3,20.1,19.4,21.7,64.8,76.2,41.9,942,36.475,"36,851",17.6,0%,50:50:00,29.6,15.6,63.5,22.1,43.8,2026
university of ioannina,greece,Europe,1001-1200,42.6,9.4,5.6,1.9,32,2,7.5,11.9,55.7,3.6,36.5,1335,29.763,"33,322",38.1,3%,54:46:00,16.9,15.7,50.5,52.8,39.5,2026
university of karachi,pakistan,Asia,1001-1200,42.6,14.5,19.2,2,10.4,4.7,1.2,1.1,48.4,51.2,31.3,1840,21.2985,"47,940",39.8,0%,62:38:00,16.2,11.1,28.8,28.2,47.1,2026
university of lagos,nigeria,Africa,1001-1200,42.6,9.4,16.5,2.5,5.2,20.1,19.4,21.7,45.9,90.4,36.6,973,35.991,"36,484",22.4,0%,51:49:00,18.4,20.1,66.7,32.6,45.6,2026
university of murcia,spain,Europe,1001-1200,42.6,15.3,5.4,24.9,14.9,20.1,7,12.2,77.9,4.9,64.4,1045,34.6795,"26,754",15.2,5%,63:37:00,25.6,19.4,55.2,55.1,36.5,2026
university of nairobi,kenya,Africa,1001-1200,42.6,12.8,13.7,25.7,2.6,20.1,19.4,21.7,48.7,95.6,39.1,1578,25.8745,"52,216",23.3,2%,45:55:00,15.9,16.1,39.7,22.5,49.4,2026
university of parma,italy,Europe,1001-1200,42.6,13.6,5.8,4.5,33,5.2,16.8,22.9,63,12.5,37,769,39.6585,"31,624",31.5,9%,59:41:00,20.9,23.9,70.1,64.8,39.2,2026
university of regina,canada,Americas,1001-1200,42.6,4.7,2.9,5.7,34.3,4,51.2,54.5,48.5,6.4,64.2,930,36.7385,"14,331",22.9,34%,60:40:00,18.4,20.9,61.9,43.8,65.7,2026
university of salento,italy,Europe,1001-1200,42.6,6.8,1.9,8.2,41.5,1.5,4.5,9.5,71.9,3.4,31.9,883,37.552,"14,502",23.5,3%,62:38:00,27.2,21.4,61.4,55.8,35.6,2026
university of tabuk,saudi arabia,Asia,1001-1200,42.6,8.8,3.5,27.3,6.7,93.7,5.5,9.9,42.7,2.8,34.7,780,39.551,"20,099",10.3,3%,41:59:00,25.1,14.5,70.3,30.1,75.3,2026
university of the free state,south africa,Africa,1001-1200,42.6,7.2,12.1,4.9,13.8,20.1,8.3,6.4,93.7,18.4,41.7,1171,32.596,"31,599",30.9,2%,64:36:00,23.1,20,49.6,30.6,51.7,2026
university of warmia and mazury in olsztyn,poland,Europe,1001-1200,42.6,10.8,14.5,42,7.7,2.6,4.6,9,42.6,4,43.7,1618,25.376,"15,830",16.8,3%,61:39:00,18.2,15.6,41.9,26.7,24.6,2026
university of wolverhampton,united kingdom,Europe,1001-1200,42.6,3.1,3.7,14,14.9,40.8,78.9,80.9,55.7,5.9,31,965,36.1045,"13,835",17.9,28%,64:36:00,20.3,15.6,59.3,47.3,78.8,2026
yerevan state university,armenia,Asia,1001-1200,42.6,8.7,6,64.8,1.9,8.7,3,7.2,21.2,90,13.3,1999,17.864,"14,333",7.2,3%,53:47:00,25.4,9.1,12.4,22.3,41.6,2026
yokohama city university,japan,Asia,1001-1200,42.6,3.3,3.7,96.7,19,7.2,6,10,15,3.5,14.5,1036,34.8185,"5,142",5.4,3%,55:45:00,28.2,10.8,62,65,28.9,2026
yokohama national university,japan,Asia,1001-1200,42.6,11.6,24.5,22.9,11.3,17.2,12.5,18.2,28.1,22.5,41.2,1499,27.269,"9,459",13.2,8%,28 : 72,28.3,21.9,22.1,82.3,35.3,2026
yuan ze university,taiwan,Asia,1001-1200,42.6,8.6,9.7,13.7,19.7,22.2,23,25.9,38.9,2.1,42.9,744,40.2605,"6,717",20.4,11%,43:57:00,19.7,27.3,62.5,79.8,61.2,2026
al balqa applied university,jordan,Asia,1201-1400,42.6,10.2,15.4,6,5.8,15.2,5.2,9.2,46,5.5,41.8,1140,33.031,"24,503",23.7,3%,58:42:00,13.4,16.9,64.7,30.3,47.4,2026
bahauddin zakariya university,pakistan,Asia,1201-1400,42.6,8.5,7.8,4.1,30.3,20.1,1,1,50.8,8.3,25.7,784,39.461,"19,120",19.5,0%,40 : 60,23.7,18.1,75,25.2,49.5,2026
benemérita universidad autónoma de puebla,mexico,Americas,1201-1400,42.6,19.9,8,2.4,2.9,3.6,1.7,6.1,29.1,2.3,28.9,2024,17.3135,"84,699",24,1%,53:47:00,23.3,9.8,13.5,21.2,36,2026
beni suef university,egypt,Africa,1201-1400,42.6,8.7,4.1,2.1,11.1,13.7,1.6,6,51.5,2.8,39.8,1096,33.79,"82,628",44.9,1%,48:52:00,25.8,11.3,59.4,22.8,55.6,2026
brac university,bangladesh,Asia,1201-1400,42.6,14.9,33.4,11.6,3.6,1.7,1.8,6.2,30.4,4.5,30,1062,34.4115,"17,235",21.2,1%,45:55:00,13.6,13.4,74.9,19.9,43.3,2026
british university in egypt,egypt,Africa,1201-1400,42.6,8.4,10.8,36.7,4.6,1.8,6.1,10.1,18.4,3,20.6,1461,27.9045,"11,180",21.8,4%,51:49:00,16.7,12.1,53,19.1,37.4,2026
brock university,canada,Americas,1201-1400,42.6,6.7,10.9,4.7,16.6,4.2,27.5,33.5,29.2,6.7,41.5,1317,30.06,"21,118",22,19%,57:43:00,15,18.4,48,42.1,56.2,2026
canterbury christ church university,united kingdom,Europe,1201-1400,42.6,6.8,4.7,5.3,6.8,41.5,60.4,64.2,21.9,2.2,21.7,1353,29.4325,"23,395",38.4,55%,57:43:00,18,13.5,46.3,19,74.1,2026
chitkara university,india,Asia,1201-1400,42.6,10,10.9,18.2,5.4,13.1,5.4,9.1,44,1.7,47.4,717,40.8105,"18,269",13.8,3%,44:56:00,21.1,14.7,91,22.7,28.2,2026
delta university for science and technology,egypt,Africa,1201-1400,42.6,26.2,8.8,5.7,5.1,8.5,2.4,6.6,14,3.2,33.1,1005,35.3705,"11,762",18.2,1%,46:54:00,21.4,11,70.9,18,51.7,2026
doshisha university,japan,Asia,1201-1400,42.6,11.1,16.2,7,2.5,22.1,6.3,11.6,18.7,26.3,22.1,2069,16.256,"26,715",18.1,4%,42:58:00,18.1,11.1,12.4,35.5,34.1,2026
feng chia university,taiwan,Asia,1201-1400,42.6,12.3,11.8,6.4,11.7,5.6,6.8,11,10.1,21,53.9,1760,23.0215,"20,114",23,6%,41:59:00,16.9,18.2,24.2,70.7,35.6,2026
fu jen catholic university,taiwan,Asia,1201-1400,42.6,10.6,10.8,4.5,14.9,13.2,8.1,12.5,9.3,35.8,44.5,1394,28.6825,"19,288",25.9,5%,59:41:00,23.1,27.6,28.5,76.6,30,2026
galgotias university,india,Asia,1201-1400,42.6,16.6,4.6,36.2,3.2,21.1,15,18.1,16.9,3.3,48.7,1234,31.607,"18,462",14.8,3%,36 : 64,21.3,10.9,64.2,19.5,28.3,2026
gunma university,japan,Asia,1201-1400,42.6,3.8,2.8,89.8,9,5.5,5.2,8.6,10.5,1.8,15.4,1699,24.0835,"6,155",7.4,5%,39 : 61,27.9,13.4,24.2,66.3,27.4,2026
helwan university,egypt,Africa,1201-1400,42.6,11,15,4.9,2.6,1.2,3.4,2.8,63.6,20.1,36.1,1533,26.7265,"1,53,935",23.9,1%,56:44:00,22.7,9,43.1,23,47.6,2026
international islamic university islamabad,pakistan,Asia,1201-1400,42.6,9.3,14.3,5,15.5,5.7,9.6,13.2,57.9,3.3,28.8,902,37.178,"24,592",21.9,5%,58:42:00,19,11.3,77.1,20.4,58,2026
islamic university of madinah,saudi arabia,Asia,1201-1400,42.6,8.1,3.5,7.8,3,46.5,100,100,19.1,2.6,7.6,1019,35.102,"17,328",24.6,77%,0.151388889,29.7,10,53.6,17.7,88.7,2026
ivan franko national university of lviv,ukraine,Europe,1201-1400,42.6,9.6,25.3,32.8,1.7,1.3,1.6,6,13.3,26.1,43.1,2092,15.696,"21,946",13.2,1%,66:34:00,20.5,11.1,11.5,18.8,29.7,2026
jahangirnagar university,bangladesh,Asia,1201-1400,42.6,12.2,17.5,5.7,9.3,20.1,19.4,21.7,35.3,4.5,33.2,941,36.5275,"11,895",16.9,0%,50:50:00,19.7,10,77.6,20.4,49.6,2026
kagoshima university,japan,Asia,1201-1400,42.6,7.8,4.7,69.6,6.1,5.1,5,4,24,1.6,23,1751,23.199,"10,130",10.5,2%,39 : 61,26.5,13.8,23.8,56.3,26.5,2026
kharkiv national university of radio electronics,ukraine,Europe,1201-1400,42.6,3.2,22.5,31.1,2.2,1.8,10.7,14.9,12.9,4.7,33.3,1871,20.7025,"7,129",11.6,6%,30 : 70,20.8,9,30,18.6,29.5,2026
king mongkut's university of technology north bangkok,thailand,Asia,1201-1400,42.6,13.4,11.9,5.3,7.3,3.8,1.4,5.8,31.1,3.1,31.7,1266,30.97,"27,960",22.6,1%,40 : 60,17.8,15.3,55.9,57.3,29.6,2026
kwame nkrumah university of science and technology,ghana,Africa,1201-1400,42.6,10.2,9.2,6,3.9,20.1,19.4,21.7,65.9,49.9,42.3,1286,30.581,"76,838",46.8,1%,39 : 61,17.7,16.6,53.3,26.7,46.5,2026
kyoto institute of technology,japan,Asia,1201-1400,42.6,8,6.3,18.6,18.7,15.3,13.6,17.1,13.2,1.8,24.6,1771,22.7885,"4,018",14.5,6%,29 : 71,25.5,17.7,16.2,72.2,31.8,2026
latvia university of life sciences and technologies,latvia,Europe,1201-1400,42.6,7.5,10.1,5.7,7.9,1.8,16.5,19.1,24.1,17.7,35.8,1919,19.4345,"3,998",14.1,8%,49:51:00,21.7,15.8,17.9,24.9,27.8,2026
meiji university,japan,Asia,1201-1400,42.6,9.4,24.6,5.9,2.5,14.5,8.9,13.3,12.6,29.4,29.4,2124,14.786,"34,072",21.9,5%,34 : 66,16.2,10.2,11.6,31.1,31,2026
nagoya institute of technology,japan,Asia,1201-1400,42.6,9.5,4.4,11.5,28.6,6.9,7.8,6,19.6,8.6,18.1,1572,25.9205,"5,552",15.7,4%,0.765972222,22.8,22,25.3,75.3,29.5,2026
national chin yi university of technology,taiwan,Asia,1201-1400,42.6,13,16.4,8.8,12.9,3.1,20.6,21.3,15.6,2.1,40,1640,25.0785,"7,667",22.4,12%,31 : 69,15,26.6,27.3,50.3,36.5,2026
national dong hwa university,taiwan,Asia,1201-1400,42.6,16.3,7,8.6,8.7,13.9,18.6,22.2,10.7,2.1,46.9,1474,27.658,"10,094",18.4,10%,54:46:00,20.2,25,29,45.1,52.6,2026
national taiwan ocean university,taiwan,Asia,1201-1400,42.6,7.7,6.3,16,18.5,10.2,13.9,16.6,18.6,4.1,55.7,1449,28.041,"8,418",16.1,8%,32 : 68,19.9,27.2,29.3,70,35.9,2026
novosibirsk state technical university,russian federation,Europe,1201-1400,42.6,5.7,11.1,27.7,2.8,2,56.7,55.2,11.6,7.3,15.2,2012,17.525,"14,178",16.5,20%,37 : 63,18.1,12.9,14.3,32.8,37.9,2026
pondicherry university,india,Asia,1201-1400,42.6,5.1,3.4,7.4,33.4,2.3,1.6,6,34.7,3.2,47.1,1280,30.628,"9,378",20.3,0%,46:54:00,34.1,17.4,40.6,41,22.7,2026
riphah international university,pakistan,Asia,1201-1400,42.6,13.8,8.2,26.2,6.4,2.2,1.5,5.9,51.8,3.2,32.3,1038,34.8055,"26,970",11.9,0%,58:42:00,20,10.4,71.2,17.8,50.9,2026
samara national research university,russian federation,Europe,1201-1400,42.6,4,3.7,74.6,3.2,2.9,22.3,27.1,19.5,13.2,30.6,1872,20.6815,"9,427",10.4,10%,46:54:00,27.1,14.1,16.2,34.2,31.6,2026
sathyabama institute of science and technology,india,Asia,1201-1400,42.6,11,10.4,27,9.4,7.5,6.1,10.6,29.5,1.7,51,1330,29.8435,"17,560",12.5,4%,49:51:00,30.9,10.7,48.6,24,27.8,2026
shinshu university,japan,Asia,1201-1400,42.6,4.7,4.9,39.9,20.2,6.8,4.7,8.8,25.2,3.4,24.6,1450,28.027,"10,657",10.6,3%,33 : 67,26.7,18.4,32.5,66.8,31.9,2026
shiv nadar university,india,Asia,1201-1400,42.6,7.5,6.1,42.1,20.8,17.4,3.2,7.3,13.5,1.8,30.4,1444,28.176,"2,290",9.2,2%,43:57:00,31.7,8.1,40.6,27.7,42.5,2026
slovak university of agriculture in nitra,slovakia,Europe,1201-1400,42.6,8.9,10.6,36.7,15.5,8.8,8.9,12.3,28.5,5.7,24.9,1411,28.5155,"4,478",12.5,5%,54:46:00,27.5,19.3,34,22.9,49.2,2026
suranaree university of technology,thailand,Asia,1201-1400,42.6,10.2,6.5,5.9,16.7,7.4,2.4,6.7,27.3,3.2,44.6,1492,27.3345,"14,931",27.9,1%,53:47:00,25,17.4,33.7,52.4,36.1,2026
taibah university,saudi arabia,Asia,1201-1400,42.6,9.2,4.3,7.6,7.4,90.6,3.6,8.2,38,2.5,32.5,1168,32.64,"45,990",19.5,2%,63:37:00,16.1,11.2,60.4,23,74.7,2026
tamkang university,taiwan,Asia,1201-1400,42.6,7.8,9.9,5.2,11,8,11.6,16.4,24.6,35.6,45.7,1587,25.7405,"21,955",20.1,7%,46:54:00,16.1,12.4,40.1,50.5,44.6,2026
tanta university,egypt,Africa,1201-1400,42.6,7.7,9.8,7.2,4,1.5,3,7.3,73.3,5.7,48.1,1133,33.1675,"1,28,933",20,1%,54:46:00,20,9.5,66.3,23.5,49.1,2026
technical university of cluj napoca,romania,Europe,1201-1400,42.6,5.8,10.7,10.5,8.2,4,5.6,10.1,46.5,5.1,42.1,1710,23.9175,"18,486",20.3,3%,38 : 62,17.8,13.9,36.4,41.7,27.3,2026
technical university of liberec,czechia,Europe,1201-1400,42.6,5.6,5,43.9,9.3,15.6,14.9,18.7,28.5,2.5,15.7,1784,22.6215,"5,565",11.3,10%,53:47:00,22.2,16.9,20.3,37.6,47.7,2026
tecnológico de costa rica,costa rica,Americas,1201-1400,42.6,11.2,24.9,23.2,2.1,9.7,3,7.3,11.1,11.6,17.8,2061,16.478,"10,169",12.8,2%,38 : 62,20.1,8.6,14.7,17.8,39.1,2026
russian presidential academy of national economy and public administration,russian federation,Europe,1201-1400,42.6,5.6,14.9,48.4,1.2,2.1,4.6,9.3,21.8,53.7,14.3,1766,22.8875,"21,295",17.1,4%,66:34:00,23.9,22.5,21.3,27.3,24.4,2026
university of northampton,united kingdom,Europe,1201-1400,42.6,3.4,3.9,6.4,4.4,51.5,93.4,93.9,16.8,5.9,19,1527,26.83,"14,775",21.7,46%,63:37:00,16.1,11,40.4,18.7,80.3,2026
university of notre dame australia,australia,Oceania,1201-1400,42.6,3.4,5.9,6.3,10.2,53.7,21.9,28,11.5,1.7,34.1,895,37.2725,"7,652",14.9,5%,72:28:00,32.4,18,56.5,27.8,59.1,2026
tishk international university,iraq,Asia,1201-1400,42.6,13.4,4,8,11.8,74.2,1.6,5.9,33.5,5.9,17.3,1011,35.245,"4,665",16.1,1%,50:50:00,15.4,13.3,69.8,19,68.6,2026
tokai university,japan,Asia,1201-1400,42.6,12.8,9,18.1,5.4,7.7,5.3,4.2,28.8,3.4,34.4,1497,27.291,"28,774",16.6,5%,29 : 71,17.6,12.8,46.9,48.3,31.8,2026
tokushima university,japan,Asia,1201-1400,42.6,5.4,3.2,70.1,10.2,3.3,3.8,7.8,18.2,6.4,23.3,1453,28.009,"7,395",9.5,2%,36 : 64,28.9,20.7,27.2,86.7,24.7,2026
tunghai university,taiwan,Asia,1201-1400,42.6,10.1,9.2,6.7,13.1,13.5,17.8,21.7,28.2,21.9,47.5,1532,26.7355,"14,886",20.5,9%,55:45:00,15.7,15.4,40.8,44.2,48.4,2026
universidad autónoma de nuevo león,mexico,Americas,1201-1400,42.6,20.9,10.7,3.1,2.9,4,1.3,1.2,39.1,18.4,43.7,2113,15.0745,"1,34,947",48.4,0%,51:49:00,12.9,9.7,17,22.4,32.8,2026
universidad autónoma del estado de hidalgo,mexico,Americas,1201-1400,42.6,3.6,8.3,51.7,1.9,2.6,2.9,7.2,13.3,2.3,41.8,2163,13.675,"38,623",14.2,1%,58:42:00,17.7,9.2,10,19.2,26.9,2026
universidad del desarrollo,chile,Americas,1201-1400,42.6,11.8,15.7,15.7,4,10.6,3.3,7.6,18.3,6.8,47.5,1485,27.452,"17,491",17.7,4%,57:43:00,16.4,12.1,47.2,28,51,2026
universidad industrial de santander,colombia,Americas,1201-1400,42.6,12.7,17.6,5.8,3.4,6,2,6.3,18.5,13.3,28.5,2068,16.3055,"21,778",25.4,1%,46:54:00,16.2,11.4,14.4,24.2,39.1,2026
universidad nacional de asunción,paraguay,Americas,1201-1400,42.6,7.6,5.5,43.1,1.2,1.5,2.7,7,13.1,73.8,28.8,1847,21.218,"52,870",8.9,1%,56:44:00,22.4,9.6,24.9,20.4,47.2,2026
universidad nacional del litoral,argentina,Americas,1201-1400,42.6,18.1,10.1,3.1,4.1,6.6,1.5,1.4,26.8,7.1,41,2106,15.342,"50,839",34.9,1%,63:37:00,13.5,9.6,16.9,25.2,33.3,2026
universidad peruana de ciencias aplicadas,peru,Americas,1201-1400,42.6,17.8,26.8,4.7,1.4,17.1,2.1,1.8,10.1,4.8,32,2171,13.3725,"81,453",29.7,2%,49:51:00,12,8.8,13.6,17.2,33.5,2026
universidade do estado do rio de janeiro,brazil,Americas,1201-1400,42.6,13.2,6.5,22.6,4,4.8,1.4,1.3,48,22.6,31.8,1732,23.5715,"34,661",11.8,0%,55:45:00,32.2,12.3,24.5,23.2,29.7,2026
universidade federal da bahia,brazil,Americas,1201-1400,42.6,13.5,5,11.8,5.7,6.9,2,1.8,48.7,20.6,41.4,1654,24.7075,"50,721",19,1%,54:46:00,27.1,14.6,30,25.1,33,2026
universidade federal de pernambuco,brazil,Americas,1201-1400,42.6,16,4.4,20.3,7.6,4.8,1.4,5.9,58.3,6.8,36.1,1473,27.676,"36,048",13.2,0%,52:48:00,33.8,18.5,25.6,62.5,28.8,2026
universitas muhammadiyah yogyakarta,indonesia,Asia,1201-1400,42.6,10.9,4.2,4.8,2.2,82.5,3.9,8.3,8.3,2.7,37.9,1929,19.136,"23,551",28.1,2%,48:52:00,12.4,11.9,25.4,18.3,49,2026
universitas negeri yogyakarta,indonesia,Asia,1201-1400,42.6,17.4,6.7,12.2,2,18.8,2.8,7.2,10.8,2.8,32.5,1537,26.6225,"27,783",17.2,2%,56:44:00,19.2,12.1,46,24.3,35.7,2026
universitas pendidikan indonesia,indonesia,Asia,1201-1400,42.6,17.4,5.7,16.2,2.2,17.6,2.5,7.1,20,2.7,43.1,1806,22.0575,"37,007",16.9,2%,56:44:00,20.3,11.9,32.2,20.7,28.4,2026
université de poitiers,france,Europe,1201-1400,42.6,11.1,1.2,7.6,8.5,20.1,38.9,29.1,74.6,13.6,39.3,1345,29.5315,"28,005",17.7,13%,59:41:00,27.5,20.9,30.5,39.7,61.6,2026
universiti kuala lumpur,malaysia,Asia,1201-1400,42.6,9.9,10.8,33.8,4.1,7.1,5,9.8,18.1,5.1,23.2,1900,20.0405,"17,749",12.8,3%,44:56:00,20.6,9.6,23.6,28.8,39.3,2026
universiti malaysia kelantan,malaysia,Asia,1201-1400,42.6,9.5,3.6,7.1,10.6,17,14.2,16.4,25.5,5.1,47.9,1647,24.9345,"10,001",20,8%,70:30:00,16.1,14.8,35.5,37.7,49.8,2026
universiti teknikal malaysia melaka,malaysia,Asia,1201-1400,42.6,10.3,11.2,18,11.4,5.4,10.7,13.9,34.7,5.2,36.4,1668,24.55,"9,543",13,6%,36 : 64,26.9,11.4,27.3,37.4,48.3,2026
university of babylon,iraq,Asia,1201-1400,42.6,7.7,25.9,19.6,3.7,1.3,1.2,1.1,36.6,5.8,29.8,1733,23.5415,"29,695",12.9,1%,55:45:00,28.4,9,33.4,21.9,22.1,2026
university of basrah,iraq,Asia,1201-1400,42.6,9.1,26.6,18.7,2.2,20.1,1,1,34.7,14.2,20,2161,13.682,"88,218",22.8,0%,64:36:00,15.2,8.1,14.5,17.1,24.2,2026
university of derby,united kingdom,Europe,1201-1400,42.6,5.4,7.5,12,10.9,40.8,49.9,54.6,42.8,2.2,34,793,39.293,"15,820",14.6,26%,61:39:00,19,14.1,74,34.6,80.2,2026
university of kerbala,iraq,Asia,1201-1400,42.6,12.8,14.8,35.3,2,2.1,1.9,1.7,13.9,5.6,21.3,2049,16.716,"25,226",12.4,0%,55:45:00,22.3,8.1,16.9,16.4,27.5,2026
university of kufa,iraq,Asia,1201-1400,42.6,7.4,33.3,31.7,2.1,20.1,1,1,26.3,5.7,15.6,1739,23.5005,"35,860",11.8,0%,59:41:00,23.6,9,38.1,16.9,24.3,2026
university of miskolc,hungary,Europe,1201-1400,42.6,9,10.3,20.4,4.7,3,6.4,5,24.5,16.3,27.8,1835,21.346,"9,107",17.7,9%,51:49:00,23.8,14.7,21.2,24.3,36.4,2026
university of mosul,iraq,Asia,1201-1400,42.6,7.3,12.9,23.4,1.7,1,1.3,5.7,30.2,28.8,26.4,2063,16.4445,"57,684",13.7,0%,56:44:00,19.3,10.5,16.9,29.9,19.2,2026
university of novi sad,serbia,Europe,1201-1400,42.6,12.5,6.5,10.5,6.9,20.1,19.4,21.7,82.1,30.7,31.2,1679,24.3395,"49,296",14,7%,58:42:00,19.9,11.5,32.8,59.6,38.8,2026
university of ostrava,czechia,Europe,1201-1400,42.6,8,2.9,20.5,5.9,34.6,32.2,24.2,28.9,5,24.2,1635,25.2135,"9,219",16.4,12%,70:30:00,20,16.7,32.7,20.7,51.1,2026
university of pannonia,hungary,Europe,1201-1400,42.6,6.1,7.3,33.3,14.9,5.8,7.2,5.6,55.5,5,23.4,1652,24.764,"5,317",20,6%,49:51:00,22.7,17.7,29.9,31.8,35.9,2026
university of pardubice,czechia,Europe,1201-1400,42.6,5.2,5.2,47.8,5.8,12.3,15.5,19.7,36.2,2.5,15.8,1785,22.61,"7,339",15.3,9%,55:45:00,19.7,18.6,22.8,37.8,40.7,2026
university of peradeniya,sri lanka,Asia,1201-1400,42.6,10.4,13.6,14.3,3.7,20.1,1.6,6,39.5,17.7,50.6,1420,28.4395,"20,419",26.2,0%,60:40:00,12.8,12.4,56.4,30,39.3,2026
university of petra,jordan,Asia,1201-1400,42.6,8.8,8.1,10,6.2,25.9,47.1,44.2,9.9,5.7,34.6,934,36.665,"5,154",17.3,18%,54:46:00,15.2,12.4,76.1,17.5,67.4,2026
university of primorska,slovenia,Europe,1201-1400,42.6,3.6,5.7,12.3,8.3,31.6,38.9,37.4,45.4,13.2,21.8,1702,24.061,"5,744",13.5,23%,76:24:00,20,17.4,25.1,23,62.2,2026
university of rajshahi,bangladesh,Asia,1201-1400,42.6,13.2,13.1,6.2,6.4,1.3,1.2,5.6,23.5,4.4,39.3,1033,34.8725,"19,819",17.8,0%,36 : 64,16.5,9.9,77,22.1,42,2026
university of rijeka,croatia,Europe,1201-1400,42.6,7.3,8.4,17,8.7,2.8,5.8,10.1,50.2,15.3,42.4,1655,24.6965,"12,749",15.6,5%,59:41:00,20.1,19.4,31.3,36.4,30.6,2026
university of sarajevo,bosnia and herzegovina,Europe,1201-1400,42.6,5,1,6.5,2.9,20.1,5.2,4.1,41.3,89.1,20.5,1897,20.1415,"21,375",13,3%,Unknown,21.2,11.5,23.4,33,29.5,2026
university of silesia in katowice,poland,Europe,1201-1400,42.6,8.6,6.8,31.3,5.7,5.1,7.4,12,59.3,10.1,44.4,1649,24.85,"17,261",10.6,5%,66:34:00,28,15.2,28.8,27.8,32.4,2026
university of split,croatia,Europe,1201-1400,42.6,7.6,9.2,8.7,8.8,1.6,3.3,7.5,52.3,22.4,44.8,1487,27.4225,"18,811",15,3%,59:41:00,22.2,15.3,42.3,28.6,34.7,2026
zagazig university,egypt,Africa,1201-1400,42.6,11.3,9.1,4.5,5.1,1.3,8.1,12,69.8,5.2,53,1015,35.147,"1,72,762",21.8,3%,52:48:00,17.9,11.2,71.2,36.4,50.7,2026
aoyama gakuin university,japan,Asia,1401,42.6,7.1,16.8,7.4,2.5,20.3,4.5,3.6,9.5,14.5,9.6,2123,14.7945,"20,622",18.1,5%,49:51:00,16.7,9.4,10.8,29.3,36.4,2026
aswan university,egypt,Africa,1401,42.6,7.1,2.2,11.8,6.4,1.1,1.8,6.1,53.9,2.9,40,1184,32.31,"32,185",31.6,0%,50:50:00,16,11.9,64.9,22.6,50.2,2026
benha university,egypt,Africa,1401,42.6,6.2,4.4,8.2,4.2,1,2.4,6.7,59.7,2.9,36.1,1235,31.5795,"1,11,190",28.9,1%,46:54:00,16.5,10.3,63.9,22,49,2026
chaoyang university of technology,taiwan,Asia,1401,42.6,5,6.7,6.4,8.4,7.4,13.2,15.9,22.2,2.1,40.6,1347,29.51,"13,390",34.9,6%,55:45:00,15.5,22.8,42.6,53.7,45.3,2026
chittagong university of engineering and technology,bangladesh,Asia,1401,42.6,10,16.2,10,12.1,1.6,19.4,21.7,8.1,4.8,20.3,1268,30.9185,"5,758",17.4,0%,1.011805556,13.7,11.7,67.2,23.1,32,2026
east west university,bangladesh,Asia,1401,42.6,8.8,17.7,3.7,4.5,1.4,1,5.5,9.2,8.3,32.5,1818,21.7655,"12,156",26.8,0%,51:49:00,11.2,9.3,41.7,17.8,33.9,2026
escuela politécnica nacional,ecuador,Americas,1401,42.6,10.2,10.8,18.8,5.7,6.3,3,7.1,16.9,6.6,25.2,1863,20.9075,"7,569",14.2,2%,30 : 70,18.7,9.8,26.7,24.6,47.4,2026
herzen state pedagogical university of russia,russian federation,Europe,1401,42.6,3.8,4.2,22.2,1.5,1.7,59.8,56.4,11.4,7.2,25.4,2062,16.464,"17,884",16,21%,72:28:00,20.7,12.9,9.8,18.6,39.1,2026
islamic university of indonesia,indonesia,Asia,1401,42.6,17.5,7.4,2.8,3.2,3.8,1.2,1.1,12.9,5.1,34.4,1973,18.462,"26,457",31.6,3%,45:55:00,14.6,11.7,24.9,17.8,34.4,2026
kazan national research technological university,russian federation,Europe,1401,42.6,5.3,7.8,27.9,2,1.9,30.9,32.4,10.3,5.5,13.7,2041,16.799,"13,472",12.3,16%,39 : 61,22,9.9,10.2,44.2,34.8,2026
khulna university,bangladesh,Asia,1401,42.6,8.6,7.9,14.3,8.6,20.1,19.4,21.7,20.8,4.3,25.4,1493,27.3225,"8,131",13.9,0%,45:55:00,17.3,9.9,50.7,18.7,45.2,2026
khulna university of engineering and technology,bangladesh,Asia,1401,42.6,7.3,16.7,10.5,13.4,1.4,19.4,21.7,12.6,4.5,22,1098,33.758,"7,985",17.8,0%,32 : 68,13.8,8.7,78.6,22.1,36,2026
kindai university,japan,Asia,1401,42.6,5.3,6.4,10.2,8.6,25.7,3.2,7.4,30.4,1.7,41.2,1319,30.0415,"34,923",23.2,2%,32 : 68,17.6,13.3,53.6,60,33.5,2026
lublin university of technology,poland,Europe,1401,42.6,6.9,3,28.1,8.9,2.5,29.5,27.5,14.4,3.9,17.7,1585,25.75,"6,721",11.4,13%,27 : 73,25.8,14.8,31.6,30.8,41.8,2026
